categorias,direccion,nombre,precio,score
Excellent,"8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,Name/address in local language",Hotel Berna,,4.5
Very good,"531, reviews,La Paz 471, Puerto Varas 5550000 Chile,531, reviews,La Paz 471, Puerto Varas 5550000 Chile,Name/address in local language",Park Inn By Radisson Puerto Varas,,3.5
Very good,"263, reviews,Avenida Los Colonos no. 60, Puerto Varas Chile,263, reviews,Avenida Los Colonos no. 60, Puerto Varas Chile,Name/address in local language",Puerto Chico Hotel,,4.0
Very good,"342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,Name/address in local language",Casa Azul Hostel,,4.0
Excellent,"347, reviews,Imperial 695, Puerto Varas 12345 Chile,347, reviews,Imperial 695, Puerto Varas 12345 Chile,Name/address in local language",Hotel Puelche,,4.5
Very good,"970, reviews,Klenner 349, Puerto Varas 5550454 Chile,970, reviews,Klenner 349, Puerto Varas 5550454 Chile,Name/address in local language",Enjoy Puerto Varas,,4.0
Excellent,"861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,Name/address in local language",Radisson Hotel Puerto Varas,,4.5
Excellent,"2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,Name/address in local language",Hotel Cabana del Lago,,4.5
Excellent,"339, reviews,Ruta 225, Km. 27 Sector Los Riscos, Puerto Varas 5550000 Chile,339, reviews,Ruta 225, Km. 27 Sector Los Riscos, Puerto Varas 5550000 Chile,Name/address in local language",Hotel Awa,,4.5
Excellent,"2,743, reviews,Av. Imperial 0561, Puerto Varas Chile,2,743, reviews,Av. Imperial 0561, Puerto Varas Chile,Name/address in local language",Hotel Cumbres Puerto Varas,,4.5
Excellent,"821, reviews,Imperial 0211, Puerto Varas 5550000 Chile,821, reviews,Imperial 0211, Puerto Varas 5550000 Chile,Name/address in local language",Solace Hotel,,4.5
Excellent,"1,481, reviews,Av. Vicente Perez Rosales 060, Puerto Varas Chile,1,481, reviews,Av. Vicente Perez Rosales 060, Puerto Varas Chile,Name/address in local language",Hotel Bellavista Puerto Varas,,4.5
Excellent,"7,280, reviews,Urbanizacion Montana Roja, S/N, 35580 Playa Blanca, Lanzarote Spain,7,280, reviews,Urbanizacion Montana Roja, S/N, 35580 Playa Blanca, Lanzarote Spain,Name/address in local language",H10 Rubicon Palace,,4.5
Excellent,"114, reviews,1570 Wisconsin Dells Pkwy, Wisconsin Dells, WI 53965-8446,114, reviews,1570 Wisconsin Dells Pkwy, Wisconsin Dells, WI 53965-8446",Atlantis Family Waterpark Hotel,,4.5
Very good,"2,248, reviews,Avenida Paseo de La Reforma 325 Col. Cuauhtemoc, Mexico City 06500 Mexico,2,248, reviews,Avenida Paseo de La Reforma 325 Col. Cuauhtemoc, Mexico City 06500 Mexico,Name/address in local language",Sheraton Mexico City Maria Isabel Hotel,,4.0
Excellent,"889, reviews,33 boulevard Edouard Baudoin, 06160 Juan-les-Pins, Antibes France,889, reviews,33 boulevard Edouard Baudoin, 06160 Juan-les-Pins, Antibes France,Name/address in local language",Hôtel Belles Rives,,4.5
Excellent,"3, reviews,Los Colonos 1183, Puerto Varas 5550100 Chile,3, reviews,Los Colonos 1183, Puerto Varas 5550100 Chile,Name/address in local language",Silvestre Cabanas,,4.5
Excellent,"8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,Name/address in local language",Hotel Berna,,4.5
Very good,"531, reviews,La Paz 471, Puerto Varas 5550000 Chile,531, reviews,La Paz 471, Puerto Varas 5550000 Chile,Name/address in local language",Park Inn By Radisson Puerto Varas,,3.5
Very good,"263, reviews,Avenida Los Colonos no. 60, Puerto Varas Chile,263, reviews,Avenida Los Colonos no. 60, Puerto Varas Chile,Name/address in local language",Puerto Chico Hotel,,4.0
Very good,"342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,Name/address in local language",Casa Azul Hostel,,4.0
Excellent,"347, reviews,Imperial 695, Puerto Varas 12345 Chile,347, reviews,Imperial 695, Puerto Varas 12345 Chile,Name/address in local language",Hotel Puelche,,4.5
Very good,"970, reviews,Klenner 349, Puerto Varas 5550454 Chile,970, reviews,Klenner 349, Puerto Varas 5550454 Chile,Name/address in local language",Enjoy Puerto Varas,,4.0
Excellent,"861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,Name/address in local language",Radisson Hotel Puerto Varas,,4.5
Excellent,"2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,Name/address in local language",Hotel Cabana del Lago,,4.5
Excellent,"339, reviews,Ruta 225, Km. 27 Sector Los Riscos, Puerto Varas 5550000 Chile,339, reviews,Ruta 225, Km. 27 Sector Los Riscos, Puerto Varas 5550000 Chile,Name/address in local language",Hotel Awa,,4.5
Excellent,"2,743, reviews,Av. Imperial 0561, Puerto Varas Chile,2,743, reviews,Av. Imperial 0561, Puerto Varas Chile,Name/address in local language",Hotel Cumbres Puerto Varas,,4.5
Excellent,"821, reviews,Imperial 0211, Puerto Varas 5550000 Chile,821, reviews,Imperial 0211, Puerto Varas 5550000 Chile,Name/address in local language",Solace Hotel,,4.5
Excellent,"1,481, reviews,Av. Vicente Perez Rosales 060, Puerto Varas Chile,1,481, reviews,Av. Vicente Perez Rosales 060, Puerto Varas Chile,Name/address in local language",Hotel Bellavista Puerto Varas,,4.5
Excellent,"7,280, reviews,Urbanizacion Montana Roja, S/N, 35580 Playa Blanca, Lanzarote Spain,7,280, reviews,Urbanizacion Montana Roja, S/N, 35580 Playa Blanca, Lanzarote Spain,Name/address in local language",H10 Rubicon Palace,,4.5
Excellent,"114, reviews,1570 Wisconsin Dells Pkwy, Wisconsin Dells, WI 53965-8446,114, reviews,1570 Wisconsin Dells Pkwy, Wisconsin Dells, WI 53965-8446",Atlantis Family Waterpark Hotel,,4.5
Very good,"2,248, reviews,Avenida Paseo de La Reforma 325 Col. Cuauhtemoc, Mexico City 06500 Mexico,2,248, reviews,Avenida Paseo de La Reforma 325 Col. Cuauhtemoc, Mexico City 06500 Mexico,Name/address in local language",Sheraton Mexico City Maria Isabel Hotel,,4.0
Excellent,"889, reviews,33 boulevard Edouard Baudoin, 06160 Juan-les-Pins, Antibes France,889, reviews,33 boulevard Edouard Baudoin, 06160 Juan-les-Pins, Antibes France,Name/address in local language",Hôtel Belles Rives,,4.5
Very good,"232, reviews,425 Camino Del Rio S, San Diego, CA 92108-3502,232, reviews,425 Camino Del Rio S, San Diego, CA 92108-3502",WorldMark San Diego - Mission Valley,,3.5
Excellent,"8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,Name/address in local language",Hotel Berna,,4.5
Very good,"531, reviews,La Paz 471, Puerto Varas 5550000 Chile,531, reviews,La Paz 471, Puerto Varas 5550000 Chile,Name/address in local language",Park Inn By Radisson Puerto Varas,,3.5
Excellent,"1,980, reviews,Milan Malpensa Airport, Terminal 2 Terminal 2, 21010, Somma Lombardo Italy,1,980, reviews,Milan Malpensa Airport, Terminal 2 Terminal 2, 21010, Somma Lombardo Italy,Name/address in local language",Moxy Milan Malpensa Airport,,4.5
Very good,"342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,Name/address in local language",Casa Azul Hostel,,4.0
Excellent,"347, reviews,Imperial 695, Puerto Varas 12345 Chile,347, reviews,Imperial 695, Puerto Varas 12345 Chile,Name/address in local language",Hotel Puelche,,4.5
Very good,"970, reviews,Klenner 349, Puerto Varas 5550454 Chile,970, reviews,Klenner 349, Puerto Varas 5550454 Chile,Name/address in local language",Enjoy Puerto Varas,,4.0
Excellent,"861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,Name/address in local language",Radisson Hotel Puerto Varas,,4.5
Excellent,"2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,Name/address in local language",Hotel Cabana del Lago,,4.5
Excellent,"339, reviews,Ruta 225, Km. 27 Sector Los Riscos, Puerto Varas 5550000 Chile,339, reviews,Ruta 225, Km. 27 Sector Los Riscos, Puerto Varas 5550000 Chile,Name/address in local language",Hotel Awa,,4.5
Excellent,"2,743, reviews,Av. Imperial 0561, Puerto Varas Chile,2,743, reviews,Av. Imperial 0561, Puerto Varas Chile,Name/address in local language",Hotel Cumbres Puerto Varas,,4.5
Excellent,"821, reviews,Imperial 0211, Puerto Varas 5550000 Chile,821, reviews,Imperial 0211, Puerto Varas 5550000 Chile,Name/address in local language",Solace Hotel,,4.5
Excellent,"1,481, reviews,Av. Vicente Perez Rosales 060, Puerto Varas Chile,1,481, reviews,Av. Vicente Perez Rosales 060, Puerto Varas Chile,Name/address in local language",Hotel Bellavista Puerto Varas,,4.5
Excellent,"7,280, reviews,Urbanizacion Montana Roja, S/N, 35580 Playa Blanca, Lanzarote Spain,7,280, reviews,Urbanizacion Montana Roja, S/N, 35580 Playa Blanca, Lanzarote Spain,Name/address in local language",H10 Rubicon Palace,,4.5
Excellent,"114, reviews,1570 Wisconsin Dells Pkwy, Wisconsin Dells, WI 53965-8446,114, reviews,1570 Wisconsin Dells Pkwy, Wisconsin Dells, WI 53965-8446",Atlantis Family Waterpark Hotel,,4.5
Very good,"2,248, reviews,Avenida Paseo de La Reforma 325 Col. Cuauhtemoc, Mexico City 06500 Mexico,2,248, reviews,Avenida Paseo de La Reforma 325 Col. Cuauhtemoc, Mexico City 06500 Mexico,Name/address in local language",Sheraton Mexico City Maria Isabel Hotel,,4.0
Excellent,"889, reviews,33 boulevard Edouard Baudoin, 06160 Juan-les-Pins, Antibes France,889, reviews,33 boulevard Edouard Baudoin, 06160 Juan-les-Pins, Antibes France,Name/address in local language",Hôtel Belles Rives,,4.5
Very good,"232, reviews,425 Camino Del Rio S, San Diego, CA 92108-3502,232, reviews,425 Camino Del Rio S, San Diego, CA 92108-3502",WorldMark San Diego - Mission Valley,,3.5
Excellent,"8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,8,194, reviews,Via Napo Torriani 18, 20124 Milan Italy,Name/address in local language",Hotel Berna,,4.5
Very good,"531, reviews,La Paz 471, Puerto Varas 5550000 Chile,531, reviews,La Paz 471, Puerto Varas 5550000 Chile,Name/address in local language",Park Inn By Radisson Puerto Varas,,3.5
Excellent,"1,980, reviews,Milan Malpensa Airport, Terminal 2 Terminal 2, 21010, Somma Lombardo Italy,1,980, reviews,Milan Malpensa Airport, Terminal 2 Terminal 2, 21010, Somma Lombardo Italy,Name/address in local language",Moxy Milan Malpensa Airport,,4.5
Very good,"342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,342, reviews,Manzanal 66 Corner Rosario, Puerto Varas 5550587 Chile,Name/address in local language",Casa Azul Hostel,,4.0
Excellent,"347, reviews,Imperial 695, Puerto Varas 12345 Chile,347, reviews,Imperial 695, Puerto Varas 12345 Chile,Name/address in local language",Hotel Puelche,,4.5
Very good,"970, reviews,Klenner 349, Puerto Varas 5550454 Chile,970, reviews,Klenner 349, Puerto Varas 5550454 Chile,Name/address in local language",Enjoy Puerto Varas,,4.0
Excellent,"861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,861, reviews,Del Salvador 024, Puerto Varas 5550000 Chile,Name/address in local language",Radisson Hotel Puerto Varas,,4.5
Excellent,"2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,2,950, reviews,Klener 195 Pasaje Luis Wellmann, Puerto Varas 5550447 Chile,Name/address in local language",Hotel Cabana del Lago,,4.5
